# config bias temp ch
148_IBSel_0b111_RFSel_3_DAC_219 200 20 2  
148_IBSel_0b111_RFSel_3_DAC_221 200 20 2
148_IBSel_0b111_RFSel_3_DAC_223 200 20 2
148_IBSel_0b111_RFSel_3_DAC_228 200 20 2
148_IBSel_0b111_RFSel_3_DAC_238 200 20 2
148_IBSel_0b111_RFSel_3_DAC_248 200 20 2
148_IBSel_0b111_RFSel_3_DAC_270 200 20 2
148_IBSel_0b111_RFSel_3_DAC_290 200 20 2
148_IBSel_0b111_RFSel_3_DAC_320 200 20 2
