#config  bias    temp ch
137_IBSel_0b111_RFSel_3_DAC_000 160 20 1
136_IBSel_0b111_RFSel_3_DAC_000 170 20 1
135_IBSel_0b111_RFSel_3_DAC_000 180 20 1
134_IBSel_0b111_RFSel_3_DAC_000 190 20 1
133_IBSel_0b111_RFSel_3_DAC_000 200 20 1
130_IBSel_0b111_RFSel_3_DAC_000 210 20 1
131_IBSel_0b111_RFSel_3_DAC_000 220 20 1
#132_IBSel_0b111_RFSel_3_DAC_000 225 20 1
