# config bias temp ch
153_IBSel_0b111_RFSel_3_DAC_221 220 20 2
153_IBSel_0b111_RFSel_3_DAC_226 220 20 2
153_IBSel_0b111_RFSel_3_DAC_236 220 20 2
153_IBSel_0b111_RFSel_3_DAC_246 220 20 2
153_IBSel_0b111_RFSel_3_DAC_266 220 20 2
153_IBSel_0b111_RFSel_3_DAC_286 220 20 2
153_IBSel_0b111_RFSel_3_DAC_306 220 20 2
153_IBSel_0b111_RFSel_3_DAC_326 220 20 2
